epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
76,6682.78,0.63881,0.40163,0.0224,0.02092,0.81179,0.78944,0.84764,0.65975,0.8494,0.49888,0.02802,0.02327,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,6769.28,0.65285,0.42142,0.02239,0.0211,0.82394,0.76589,0.84337,0.65408,0.87272,0.52038,0.02834,0.02384,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,6856.96,0.63698,0.40814,0.02195,0.02099,0.83539,0.80387,0.86954,0.69171,0.77014,0.44324,0.02772,0.0231,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,6945.5,0.61665,0.38771,0.02188,0.01956,0.79421,0.7416,0.81867,0.61751,0.93569,0.57892,0.028,0.02423,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,7033.11,0.61362,0.38956,0.02229,0.01938,0.84519,0.78154,0.86184,0.6869,0.77357,0.45959,0.02777,0.02329,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,7121.36,0.61929,0.3904,0.02211,0.01821,0.7822,0.8109,0.85448,0.65002,0.86862,0.51937,0.02779,0.02393,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,7209.33,0.62161,0.39484,0.02241,0.02001,0.85993,0.79676,0.87918,0.70053,0.75987,0.45344,0.02758,0.02328,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,7298.23,0.61596,0.38973,0.02233,0.01872,0.82976,0.79414,0.85677,0.65325,0.88816,0.53404,0.02784,0.02376,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,7386.18,0.61529,0.39083,0.02209,0.0184,0.80204,0.83303,0.87339,0.68427,0.80272,0.47986,0.02769,0.02243,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,7474.5,0.61522,0.39137,0.0221,0.01804,0.7694,0.78323,0.8209,0.61318,0.93985,0.60154,0.02787,0.02372,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
